bus,p_nom,confidence,source_note
Άραχθος ΚΥΤ,156.73,confirmed,"Πραγματική εγκατεστημένη ισχύς ΑΠΕ (αιολικά+φωτοβολταϊκά) συνδεδεμένη στο ΚΥΤ Άραχθος, άθροισμα εγγραφών 'ΑΡΑΧΘΟΥ (Ν)...' + 'ΑΡΤ-ΚΥΤ ΑΡΑΧΘ (Ν)'. Πηγή: ΑΔΜΗΕ, αρχείο ΑΠΕ με προσφορά σύνδεσης/σε λειτουργία, Απρίλιος 2026"
Μαργαρίτι,107.42,confirmed,"Πραγματική εγκατεστημένη ισχύς ΑΠΕ (κυρίως αιολικά). Πηγή: ΑΔΜΗΕ, αρχείο ΑΠΕ Απρίλιος 2026"
Κασσιδιάρης,94.80,confirmed,"Πραγματική εγκατεστημένη ισχύς ΑΠΕ (αιολικά). Πηγή: ΑΔΜΗΕ, αρχείο ΑΠΕ Απρίλιος 2026"
Καναλάκι,69.15,confirmed,"Πραγματική εγκατεστημένη ισχύς ΑΠΕ, άθροισμα 'ΚΑΝΑΛΑΚΙ ΙΙ/ΙΙΙ'. Πηγή: ΑΔΜΗΕ, αρχείο ΑΠΕ Απρίλιος 2026"
Αμπέλια,46.03,confirmed,"Πραγματική εγκατεστημένη ισχύς ΑΠΕ (κυρίως μικρά φωτοβολταϊκά/ενεργειακές κοινότητες). Πηγή: ΑΔΜΗΕ, αρχείο ΑΠΕ Απρίλιος 2026"
Πηγές Αώου ΥΗΣ,33.60,confirmed,"Πραγματική εγκατεστημένη ισχύς ΑΠΕ (αιολικό). Πηγή: ΑΔΜΗΕ, αρχείο ΑΠΕ Απρίλιος 2026"
Αυλάκι,14.40,confirmed,"Πραγματική εγκατεστημένη ισχύς ΑΠΕ. Πηγή: ΑΔΜΗΕ, αρχείο ΑΠΕ Απρίλιος 2026"
